Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds,Shoulder Pink X meters,Hand Pink X meters,Elbow X meters,Shoulder Pink Y meters,Hand Pink Y meters,Elbow Y meters
82.0,291.3066711,1031.726074,737.2977905,1221.702271,463.5,1207.955688,1658965715350000.0,137.21052947053744,1.35,0.2786173789296861,0.705181165621987,0.44330998204149774,-0.986784179798673,-1.1684850308890335,-1.1553372477976376
83.0,291.299408,1031.602417,737.2977905,1221.702271,463.3368835,1207.813843,1658965715366666.5,137.21543302514203,1.3666665,0.2786104322096633,0.705181165621987,0.4431539708814423,-0.9866659092863769,-1.1684850308890335,-1.1552015815529715
84.0,291.5263062,1031.436035,737.3908691,1221.737671,463.3368835,1207.813843,1658965715383333.5,137.15700607537022,1.3833335,0.27882744674465193,0.7052701897266136,0.4431539708814423,-0.9865067748712052,-1.1685188888682445,-1.1552015815529715
85.0,291.5263062,1031.436035,737.3719482,1221.593262,463.3368835,1207.813843,1658965715400000.0,137.12709018640268,1.4,0.27882744674465193,0.7052520930193014,0.4431539708814423,-0.9865067748712052,-1.168380770311186,-1.1552015815529715
86.0,291.9385376,1031.430298,737.3719482,1221.593262,463.3368835,1207.813843,1658965715416666.8,137.05736614996482,1.41666675,0.27922172138225915,0.7052520930193014,0.4431539708814423,-0.9865012877744048,-1.168380770311186,-1.1552015815529715
87.0,292.1685181,1031.563843,737.4958496,1221.881592,463.3368835,1207.813843,1658965715433333.5,137.0994098521145,1.4333335,0.2794416839525394,0.7053705972855558,0.4431539708814423,-0.9866290155663179,-1.1686565406825387,-1.1552015815529715
88.0,292.2559204,1031.448242,737.4958496,1221.881592,463.3368835,1207.813843,1658965715450000.0,137.06600898334335,1.45,0.27952527901627916,0.7053705972855558,0.4431539708814423,-0.9865184501353924,-1.1686565406825387,-1.1552015815529715
89.0,292.7987366,1031.36731,737.3719482,1221.593262,463.3368835,1207.813843,1658965715466666.8,136.9030761505195,1.46666675,0.280044450191843,0.7052520930193014,0.4431539708814423,-0.9864410435259716,-1.168380770311186,-1.1552015815529715
90.0,293.0878601,1030.912109,737.3719482,1221.593262,463.3368835,1207.813843,1658965715483333.2,136.78073535374637,1.48333325,0.2803209794984078,0.7052520930193014,0.4431539708814423,-0.986005671040243,-1.168380770311186,-1.1552015815529715
91.0,293.2340698,1030.638428,737.3719482,1221.593262,463.3368835,1207.813843,1658965715500000.0,136.71188952197275,1.5,0.2804608203171376,0.7052520930193014,0.4431539708814423,-0.9857439115597787,-1.168380770311186,-1.1552015815529715
92.0,293.3655396,1030.158569,737.3719482,1221.593262,463.6506958,1207.5,1658965715516666.8,136.78456711816756,1.51666675,0.2805865633045745,0.7052520930193014,0.44345411354611847,-0.9852849551742934,-1.168380770311186,-1.1549014095255847
93.0,293.5861206,1029.918213,737.6462402,1221.36145,463.6506958,1207.5,1658965715533333.2,136.65740506441057,1.53333325,0.2807975358162222,0.7055144368846609,0.44345411354611847,-0.985055069059852,-1.1681590560208794,-1.1549014095255847
94.0,293.9101563,1029.795532,737.6907349,1221.343506,463.6506958,1207.5,1658965715550000.0,136.5788461183493,1.55,0.28110745655052166,0.7055569933995648,0.44345411354611847,-0.9849377320330844,-1.1681418936598917,-1.1549014095255847
